"Designator","Footprint","Mid X","Mid Y","Ref X","Ref Y","Pad X","Pad Y","Layer","Rotation","Comment"
"R38","0402","40973.82mil","42185.47mil","40973.82mil","42185.47mil","40954.922mil","42185.47mil","T","360.00","220R"
"R37","0402","41303.82mil","41780.47mil","41303.82mil","41780.47mil","41322.718mil","41780.47mil","T","180.00","2k"
"R36","0402","42453.82mil","42590.47mil","42453.82mil","42590.47mil","42472.718mil","42590.47mil","T","180.00","1k"
"R35","0402","41393.83mil","42745.47mil","41393.83mil","42745.47mil","41374.932mil","42745.47mil","T","360.00","2k"
"R34","0402","41393.83mil","42700.47mil","41393.83mil","42700.47mil","41374.932mil","42700.47mil","T","360.00","2k"
"R32","0402","42321.68mil","41770.47mil","42321.68mil","41770.47mil","42302.782mil","41770.47mil","T","360.00","1M"
"R31","0402","42321.68mil","41729.22mil","42321.68mil","41729.22mil","42302.782mil","41729.22mil","T","360.00","1M"
"R30","0402","42833.82mil","42000.47mil","42833.82mil","42000.47mil","42814.922mil","42000.47mil","T","360.00","100k"
"R29","0402","43788.82mil","42220.47mil","43788.82mil","42220.47mil","43769.922mil","42220.47mil","B","360.00","2k"
"R28","0402","43788.83mil","42265.47mil","43788.83mil","42265.47mil","43769.932mil","42265.47mil","B","360.00","2k"
"R27","0402","43408.82mil","43435.47mil","43408.82mil","43435.47mil","43408.82mil","43416.572mil","B","90.00","2k"
"R26","0402","42908.82mil","42000.47mil","42908.82mil","42000.47mil","42889.922mil","42000.47mil","T","360.00","100k"
"R25","0402","43363.82mil","43435.47mil","43363.82mil","43435.47mil","43363.82mil","43416.572mil","B","90.00","2k"
"R24","0402","42738.82mil","43430.468mil","42738.82mil","43430.468mil","42738.82mil","43411.57mil","B","90.00","2k"
"R23","0402","42688.82mil","43430.47mil","42688.82mil","43430.47mil","42688.82mil","43411.572mil","B","90.00","2k"
"R22","0402","43798.83mil","42860.47mil","43798.83mil","42860.47mil","43779.932mil","42860.47mil","B","360.00","2k"
"R21","0402","41669.04mil","42506.63mil","41669.04mil","42506.63mil","41669.04mil","42487.732mil","T","90.00","0R"
"R20","0402","42973.82mil","41925.47mil","42973.82mil","41925.47mil","42992.718mil","41925.47mil","T","180.00","22R"
"R19","0402","41708.41mil","42506.63mil","41708.41mil","42506.63mil","41708.41mil","42487.732mil","T","90.00","0R"
"R18","0402","43798.83mil","42910.47mil","43798.83mil","42910.47mil","43779.932mil","42910.47mil","B","360.00","2k"
"R17","0402","41629.67mil","42506.63mil","41629.67mil","42506.63mil","41629.67mil","42487.732mil","T","90.00","0R"
"R16","0402","42333.82mil","42485.47mil","42333.82mil","42485.47mil","42314.922mil","42485.47mil","T","360.00","1k"
